Format Version,1.23,Take Name,Apr17_Sand_No_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.15.20.295 PM,Capture Start Frame,7208744,Total Frames in Take,4210,Total Exported Frames,4210,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1777,14.808000,0.002710,0.064120,0.002831,0.997935,0.362480,-0.027611,0.242128,0.352159,-0.028599,0.251381,0.366695,-0.027106,0.282863,0.368585,-0.027128,0.192142,0.005350,0.054467,0.000190,0.998501,0.148105,-0.069693,0.181078,0.149543,-0.074686,0.222852,0.124876,-0.057842,0.168876,0.169895,-0.076553,0.151506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352244,-0.028591,0.251380,0.366588,-0.027116,0.283072,0.368556,-0.027131,0.192020,0.149710,-0.074752,0.222759,0.124700,-0.057738,0.168652,0.169764,-0.076602,0.152554
1778,14.817000,0.002223,0.065023,0.004636,0.997871,0.362577,-0.027521,0.241793,0.352276,-0.028540,0.251064,0.366863,-0.026970,0.282519,0.368591,-0.027053,0.191795,0.006939,0.054755,0.001597,0.998474,0.148037,-0.069623,0.181284,0.149513,-0.074751,0.223041,0.124770,-0.057793,0.169135,0.169829,-0.076327,0.151677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352369,-0.028531,0.250990,0.366781,-0.026978,0.282637,0.368546,-0.027057,0.191800,0.149672,-0.074814,0.222958,0.124608,-0.057695,0.168906,0.169641,-0.076367,0.152854
1779,14.825000,0.004360,0.066516,-0.000835,0.997776,0.362757,-0.027515,0.241364,0.352474,-0.028452,0.250663,0.367172,-0.027157,0.282078,0.368625,-0.026936,0.191350,0.007225,0.055587,0.002330,0.998425,0.147916,-0.069659,0.181515,0.149468,-0.074811,0.223266,0.124611,-0.057854,0.169412,0.169668,-0.076312,0.151868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352460,-0.028453,0.250607,0.367204,-0.027155,0.282089,0.368620,-0.026937,0.191401,0.149638,-0.074882,0.223209,0.124455,-0.057754,0.169135,0.169384,-0.076319,0.153137
1780,14.833000,0.005287,0.067344,-0.006324,0.997696,0.362908,-0.027495,0.240904,0.352630,-0.028328,0.250219,0.367396,-0.027232,0.281611,0.368696,-0.026924,0.190880,0.009998,0.052292,0.009541,0.998536,0.147850,-0.069420,0.181857,0.149197,-0.074817,0.223584,0.124463,-0.057866,0.169672,0.169890,-0.075577,0.152315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352630,-0.028328,0.250158,0.367413,-0.027231,0.281697,0.368687,-0.026925,0.190890,0.149586,-0.074968,0.223435,0.124171,-0.057713,0.169443,0.169990,-0.075700,0.153003
1781,14.842000,0.004238,0.068333,-0.007260,0.997627,0.362992,-0.027407,0.240480,0.352732,-0.028202,0.249818,0.367562,-0.027062,0.281178,0.368681,-0.026957,0.190444,0.012705,0.054608,0.011472,0.998361,0.147877,-0.069379,0.181988,0.149438,-0.075003,0.223678,0.124392,-0.057843,0.169977,0.169801,-0.075292,0.152310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352840,-0.028194,0.249606,0.367506,-0.027066,0.281407,0.368620,-0.026961,0.190502,0.149563,-0.075054,0.223657,0.123852,-0.057590,0.169808,0.170225,-0.075512,0.152625
1782,14.850000,0.001954,0.069870,-0.000870,0.997554,0.363040,-0.027378,0.240100,0.352820,-0.028273,0.249473,0.367729,-0.026824,0.280782,0.368572,-0.027038,0.190046,0.013239,0.054578,0.010597,0.998366,0.147885,-0.069420,0.182239,0.149435,-0.075087,0.223924,0.124421,-0.057829,0.170238,0.169799,-0.075344,0.152556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353025,-0.028258,0.249167,0.367620,-0.026831,0.281008,0.368483,-0.027045,0.190144,0.149540,-0.075124,0.223847,0.123663,-0.057500,0.170222,0.170180,-0.075526,0.152706
1783,14.858000,-0.000443,0.070942,0.002261,0.997478,0.363078,-0.027303,0.239751,0.352883,-0.028225,0.249149,0.367849,-0.026541,0.280420,0.368500,-0.027144,0.189684,0.014451,0.055352,0.008683,0.998325,0.147840,-0.069425,0.182466,0.149435,-0.075189,0.224135,0.124402,-0.057715,0.170529,0.169682,-0.075369,0.152735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353141,-0.028202,0.248825,0.367755,-0.026550,0.280542,0.368405,-0.027153,0.189801,0.149549,-0.075229,0.224051,0.123616,-0.057368,0.170505,0.170083,-0.075566,0.152909
1784,14.867000,-0.002540,0.072673,-0.001803,0.997351,0.363125,-0.027228,0.239266,0.352957,-0.028025,0.248704,0.368044,-0.026309,0.279914,0.368375,-0.027349,0.189180,0.015856,0.055893,0.006865,0.998287,0.147803,-0.069471,0.182672,0.149425,-0.075350,0.224324,0.124396,-0.057642,0.170793,0.169588,-0.075420,0.152900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353117,-0.028012,0.248498,0.367974,-0.026315,0.280040,0.368306,-0.027355,0.189241,0.149533,-0.075388,0.224245,0.123706,-0.057334,0.170767,0.169964,-0.075607,0.153068
1785,14.875000,-0.005649,0.073173,0.000377,0.997303,0.363163,-0.027100,0.238721,0.353008,-0.027890,0.248173,0.368118,-0.025919,0.279357,0.368362,-0.027491,0.188631,0.015936,0.056448,0.006420,0.998258,0.147732,-0.069486,0.182866,0.149395,-0.075370,0.224516,0.124322,-0.057635,0.171014,0.169478,-0.075451,0.153069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353158,-0.027878,0.248108,0.367985,-0.025926,0.279580,0.368303,-0.027497,0.188554,0.149511,-0.075411,0.224429,0.123710,-0.057359,0.170977,0.169866,-0.075649,0.153277
1786,14.883000,-0.006945,0.073142,-0.001115,0.997297,0.363215,-0.026980,0.238179,0.353057,-0.027715,0.247633,0.368171,-0.025698,0.278813,0.368417,-0.027526,0.188091,0.016783,0.057138,0.006182,0.998206,0.147637,-0.069552,0.183000,0.149356,-0.075506,0.224637,0.124217,-0.057669,0.171201,0.169339,-0.075480,0.153162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353120,-0.027709,0.247647,0.368093,-0.025702,0.278993,0.368394,-0.027530,0.187958,0.149486,-0.075552,0.224540,0.123707,-0.057435,0.171144,0.169749,-0.075698,0.153453
1787,14.892000,-0.007309,0.073895,-0.006173,0.997220,0.363289,-0.026843,0.237653,0.353138,-0.027462,0.247123,0.368316,-0.025552,0.278278,0.368412,-0.027514,0.187559,0.017051,0.057367,0.006099,0.998189,0.147589,-0.069618,0.183163,0.149326,-0.075595,0.224796,0.124166,-0.057725,0.171381,0.169275,-0.075534,0.153312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353082,-0.027465,0.247177,0.368363,-0.025550,0.278211,0.368440,-0.027512,0.187545,0.149465,-0.075645,0.224704,0.123623,-0.057473,0.171297,0.169659,-0.075742,0.153608
1788,14.900000,-0.008142,0.074099,-0.007743,0.997188,0.363355,-0.026697,0.237193,0.353206,-0.027268,0.246668,0.368402,-0.025344,0.277813,0.368456,-0.027478,0.187098,0.017170,0.058839,0.005231,0.998106,0.147511,-0.069672,0.183276,0.149362,-0.075657,0.224903,0.124073,-0.057738,0.171564,0.169098,-0.075621,0.153359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353112,-0.027276,0.246651,0.368482,-0.025339,0.277760,0.368485,-0.027474,0.187159,0.149499,-0.075707,0.224807,0.123562,-0.057500,0.171489,0.169489,-0.075834,0.153665
1789,14.908000,-0.009146,0.074239,-0.008845,0.997159,0.363520,-0.026568,0.236712,0.353373,-0.027098,0.246191,0.368582,-0.025138,0.277328,0.368605,-0.027468,0.186617,0.017399,0.060086,0.005178,0.998028,0.147413,-0.069705,0.183423,0.149367,-0.075709,0.225043,0.123946,-0.057764,0.171776,0.168924,-0.075644,0.153451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353300,-0.027104,0.246152,0.368648,-0.025132,0.277367,0.368623,-0.027467,0.186623,0.149503,-0.075757,0.224942,0.123427,-0.057524,0.171712,0.169347,-0.075872,0.153769
1790,14.917000,-0.010674,0.074512,-0.007349,0.997136,0.363636,-0.026530,0.236235,0.353496,-0.027065,0.245722,0.368717,-0.024969,0.276844,0.368694,-0.027555,0.186140,0.017620,0.061065,0.004666,0.997967,0.147368,-0.069725,0.183576,0.149398,-0.075746,0.225190,0.123890,-0.057755,0.171980,0.168814,-0.075674,0.153558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353491,-0.027068,0.245664,0.368736,-0.024964,0.276972,0.368686,-0.027557,0.186109,0.149535,-0.075794,0.225083,0.123347,-0.057505,0.171926,0.169264,-0.075915,0.153876
1791,14.925000,-0.011885,0.075209,-0.003445,0.997091,0.363649,-0.026470,0.235819,0.353528,-0.027069,0.245322,0.368779,-0.024795,0.276417,0.368641,-0.027547,0.185718,0.018512,0.062266,0.004526,0.997878,0.147322,-0.069734,0.183817,0.149451,-0.075829,0.225415,0.123821,-0.057736,0.172299,0.168693,-0.075637,0.153737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353609,-0.027066,0.245169,0.368748,-0.024794,0.276537,0.368596,-0.027550,0.185757,0.149580,-0.075876,0.225328,0.123208,-0.057452,0.172230,0.169073,-0.075838,0.153982
1792,14.933000,-0.013813,0.076442,-0.002954,0.996974,0.363690,-0.026395,0.235393,0.353593,-0.026971,0.244924,0.368919,-0.024561,0.275972,0.368557,-0.027654,0.185285,0.019142,0.063522,0.004465,0.997787,0.147291,-0.069763,0.184006,0.149525,-0.075910,0.225591,0.123763,-0.057747,0.172562,0.168586,-0.075633,0.153865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353739,-0.026963,0.244748,0.368817,-0.024567,0.276056,0.368485,-0.027657,0.185395,0.149649,-0.075957,0.225517,0.123183,-0.057476,0.172482,0.168923,-0.075811,0.154085
1793,14.942000,-0.015708,0.077658,-0.003401,0.996851,0.363712,-0.026309,0.234962,0.353638,-0.026841,0.244519,0.369041,-0.024322,0.275520,0.368456,-0.027764,0.184847,0.020098,0.064196,0.004497,0.997725,0.147256,-0.069726,0.184163,0.149546,-0.075952,0.225733,0.123713,-0.057687,0.172774,0.168510,-0.075538,0.153982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353815,-0.026832,0.244359,0.368912,-0.024330,0.275612,0.368384,-0.027768,0.184927,0.149680,-0.076005,0.225677,0.123127,-0.057406,0.172637,0.168802,-0.075699,0.154212
1794,14.950000,-0.017667,0.078444,-0.005829,0.996745,0.363724,-0.026300,0.234478,0.353663,-0.026745,0.244052,0.369124,-0.024164,0.275019,0.368385,-0.027991,0.184362,0.020880,0.064646,0.005757,0.997673,0.147164,-0.069710,0.184335,0.149505,-0.076002,0.225892,0.123582,-0.057709,0.172987,0.168405,-0.075419,0.154126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353810,-0.026737,0.243951,0.369025,-0.024166,0.275171,0.368316,-0.027997,0.184342,0.149649,-0.076061,0.225851,0.123023,-0.057435,0.172798,0.168657,-0.075563,0.154375
1795,14.958000,-0.020899,0.080257,-0.004104,0.996547,0.363782,-0.026237,0.233929,0.353759,-0.026662,0.243543,0.369325,-0.023830,0.274435,0.368263,-0.028219,0.183807,0.022296,0.064792,0.006387,0.997629,0.147065,-0.069680,0.184471,0.149425,-0.076090,0.226009,0.123467,-0.057671,0.173165,0.168304,-0.075278,0.154239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353828,-0.026658,0.243520,0.369249,-0.023830,0.274558,0.368235,-0.028223,0.183765,0.149571,-0.076150,0.225966,0.122883,-0.057386,0.172976,0.168566,-0.075427,0.154491
1796,14.967000,-0.023038,0.081929,-0.002507,0.996369,0.363924,-0.026109,0.233466,0.353935,-0.026530,0.243117,0.369598,-0.023521,0.273943,0.368239,-0.028276,0.183337,0.023356,0.064425,0.006358,0.997629,0.147022,-0.069641,0.184652,0.149351,-0.076139,0.226178,0.123434,-0.057604,0.173354,0.168282,-0.075179,0.154423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353971,-0.026526,0.243134,0.369522,-0.023531,0.273874,0.368230,-0.028277,0.183344,0.149517,-0.076203,0.226099,0.122843,-0.057314,0.173161,0.168475,-0.075297,0.154663
1797,14.975000,-0.023917,0.082998,-0.002453,0.996260,0.364097,-0.025968,0.233081,0.354129,-0.026374,0.242754,0.369858,-0.023308,0.273541,0.368305,-0.028221,0.182947,0.024579,0.064587,0.005915,0.997592,0.146950,-0.069551,0.184837,0.149287,-0.076151,0.226347,0.123370,-0.057463,0.173576,0.168192,-0.075040,0.154588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354156,-0.026372,0.242747,0.369810,-0.023319,0.273428,0.368295,-0.028220,0.182997,0.149468,-0.076220,0.226252,0.122822,-0.057190,0.173376,0.168378,-0.075161,0.154875
1798,14.983000,-0.024845,0.083729,-0.004334,0.996169,0.364247,-0.025883,0.232708,0.354290,-0.026233,0.242396,0.370073,-0.023157,0.273154,0.368376,-0.028261,0.182573,0.026017,0.064835,0.006670,0.997535,0.146890,-0.069479,0.185035,0.149256,-0.076199,0.226523,0.123289,-0.057388,0.173821,0.168125,-0.074849,0.154759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354349,-0.026229,0.242361,0.369987,-0.023167,0.273104,0.368351,-0.028260,0.182628,0.149443,-0.076267,0.226413,0.122776,-0.057135,0.173642,0.168318,-0.074978,0.155071
1799,14.992000,-0.025690,0.083667,-0.005559,0.996147,0.364330,-0.025805,0.232414,0.354372,-0.026114,0.242101,0.370156,-0.023016,0.272857,0.368463,-0.028287,0.182285,0.027384,0.064737,0.008173,0.997493,0.146852,-0.069433,0.185216,0.149227,-0.076267,0.226685,0.123220,-0.057376,0.174032,0.168110,-0.074654,0.154930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354447,-0.026111,0.242025,0.370065,-0.023019,0.272929,0.368428,-0.028287,0.182328,0.149437,-0.076347,0.226589,0.122690,-0.057108,0.173795,0.168287,-0.074781,0.155271
1800,15.000000,-0.026770,0.083337,-0.006309,0.996142,0.364355,-0.025777,0.232114,0.354389,-0.026050,0.241794,0.370156,-0.022903,0.272554,0.368518,-0.028378,0.181993,0.027754,0.064732,0.009421,0.997472,0.146825,-0.069447,0.185346,0.149213,-0.076313,0.226810,0.123164,-0.057438,0.174171,0.168097,-0.074589,0.155057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354470,-0.026050,0.241677,0.370069,-0.022900,0.272718,0.368474,-0.028379,0.182044,0.149441,-0.076402,0.226729,0.122625,-0.057161,0.173892,0.168260,-0.074710,0.155408
1801,15.008000,-0.027790,0.083281,-0.005925,0.996121,0.364386,-0.025753,0.231838,0.354420,-0.026017,0.241518,0.370182,-0.022794,0.272272,0.368556,-0.028449,0.181723,0.027978,0.064572,0.009488,0.997476,0.146856,-0.069454,0.185408,0.149232,-0.076339,0.226869,0.123197,-0.057442,0.174231,0.168139,-0.074581,0.155123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354528,-0.026018,0.241353,0.370067,-0.022790,0.272502,0.368497,-0.028450,0.181794,0.149480,-0.076437,0.226785,0.122663,-0.057165,0.173934,0.168290,-0.074699,0.155487
1802,15.017000,-0.028638,0.083367,-0.006140,0.996089,0.364418,-0.025676,0.231457,0.354453,-0.025920,0.241140,0.370222,-0.022648,0.271885,0.368578,-0.028460,0.181346,0.027873,0.064582,0.009266,0.997480,0.146896,-0.069454,0.185405,0.149270,-0.076330,0.226868,0.123242,-0.057434,0.174226,0.168176,-0.074597,0.155121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354600,-0.025918,0.240971,0.370032,-0.022646,0.272183,0.368502,-0.028462,0.181406,0.149514,-0.076427,0.226795,0.122720,-0.057162,0.173926,0.168321,-0.074710,0.155474
1803,15.025000,-0.030269,0.084400,-0.004425,0.995962,0.364491,-0.025620,0.231046,0.354549,-0.025872,0.240752,0.370372,-0.022452,0.271453,0.368551,-0.028537,0.180935,0.028055,0.064400,0.009484,0.997485,0.146900,-0.069466,0.185387,0.149262,-0.076358,0.226848,0.123246,-0.057452,0.174204,0.168193,-0.074589,0.155109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354681,-0.025869,0.240619,0.370195,-0.022453,0.271680,0.368484,-0.028540,0.180984,0.149486,-0.076447,0.226775,0.122736,-0.057189,0.173929,0.168343,-0.074703,0.155446
1804,15.033000,-0.031582,0.086415,-0.004340,0.995749,0.364577,-0.025643,0.230658,0.354674,-0.025872,0.240404,0.370622,-0.022368,0.271032,0.368434,-0.028689,0.180538,0.028665,0.063851,0.010512,0.997492,0.146887,-0.069438,0.185433,0.149215,-0.076381,0.226887,0.123222,-0.057455,0.174239,0.168225,-0.074478,0.155172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354770,-0.025869,0.240316,0.370540,-0.022367,0.271155,0.368388,-0.028692,0.180553,0.149444,-0.076471,0.226813,0.122730,-0.057199,0.173965,0.168365,-0.074588,0.155507
1805,15.042000,-0.033474,0.087648,-0.002494,0.995586,0.364588,-0.025639,0.230333,0.354712,-0.025873,0.240106,0.370726,-0.022202,0.270679,0.368327,-0.028843,0.180214,0.029478,0.062986,0.010060,0.997528,0.146876,-0.069434,0.185524,0.149126,-0.076445,0.226972,0.123242,-0.057408,0.174310,0.168259,-0.074449,0.155292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354819,-0.025868,0.240055,0.370584,-0.022192,0.270972,0.368281,-0.028852,0.180143,0.149390,-0.076548,0.226881,0.122740,-0.057144,0.174016,0.168393,-0.074560,0.155655
1806,15.050000,-0.035063,0.089482,-0.001631,0.995370,0.364718,-0.025607,0.229964,0.354879,-0.025829,0.239774,0.371000,-0.022035,0.270276,0.368274,-0.028955,0.179841,0.030078,0.062825,0.010820,0.997513,0.146870,-0.069379,0.185612,0.149116,-0.076441,0.227051,0.123224,-0.057373,0.174405,0.168271,-0.074324,0.155381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354960,-0.025821,0.239775,0.370909,-0.022038,0.270356,0.368246,-0.028961,0.179794,0.149391,-0.076547,0.226952,0.122757,-0.057127,0.174125,0.168391,-0.074429,0.155737
1807,15.058000,-0.036604,0.090480,-0.002723,0.995222,0.364900,-0.025516,0.229572,0.355080,-0.025687,0.239402,0.371268,-0.021825,0.269860,0.368353,-0.029035,0.179453,0.031202,0.062897,0.012154,0.997458,0.146814,-0.069382,0.185746,0.149082,-0.076538,0.227168,0.123136,-0.057408,0.174570,0.168225,-0.074200,0.155501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355203,-0.025676,0.239387,0.371125,-0.021841,0.269837,0.368312,-0.029037,0.179480,0.149323,-0.076627,0.227064,0.122701,-0.057184,0.174333,0.168346,-0.074302,0.155830
1808,15.067000,-0.036677,0.090559,-0.007173,0.995190,0.365039,-0.025406,0.229208,0.355216,-0.025481,0.239036,0.371433,-0.021734,0.269493,0.368468,-0.029003,0.179093,0.032259,0.062669,0.013444,0.997422,0.146803,-0.069349,0.185906,0.149067,-0.076594,0.227312,0.123101,-0.057407,0.174745,0.168240,-0.074046,0.155661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355355,-0.025473,0.238982,0.371289,-0.021750,0.269448,0.368412,-0.029002,0.179178,0.149262,-0.076664,0.227223,0.122725,-0.057215,0.174553,0.168353,-0.074137,0.155938
1809,15.075000,-0.036466,0.091149,-0.010607,0.995113,0.365188,-0.025337,0.228911,0.355374,-0.025342,0.238749,0.371644,-0.021701,0.269190,0.368545,-0.028968,0.178794,0.033558,0.062702,0.013462,0.997377,0.146814,-0.069319,0.186102,0.149082,-0.076672,0.227489,0.123113,-0.057345,0.174975,0.168248,-0.073940,0.155843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355473,-0.025342,0.238651,0.371560,-0.021705,0.269226,0.368488,-0.028966,0.178883,0.149213,-0.076724,0.227462,0.122846,-0.057205,0.174817,0.168326,-0.074002,0.156022
1810,15.083000,-0.036617,0.091554,-0.014385,0.995023,0.365305,-0.025307,0.228620,0.355497,-0.025229,0.238463,0.371811,-0.021681,0.268891,0.368607,-0.029013,0.178505,0.034610,0.063541,0.013310,0.997290,0.146814,-0.069298,0.186295,0.149150,-0.076737,0.227663,0.123098,-0.057292,0.175234,0.168194,-0.073865,0.155989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355538,-0.025236,0.238333,0.371806,-0.021670,0.269025,0.368575,-0.029014,0.178522,0.149242,-0.076776,0.227657,0.122854,-0.057168,0.175114,0.168308,-0.073937,0.156136
1811,15.092000,-0.038582,0.092618,-0.014574,0.994847,0.365403,-0.025263,0.228229,0.355616,-0.025145,0.238093,0.371998,-0.021479,0.268472,0.368595,-0.029166,0.178121,0.035644,0.064454,0.013486,0.997193,0.146848,-0.069260,0.186475,0.149263,-0.076784,0.227823,0.123109,-0.057239,0.175482,0.168173,-0.073758,0.156120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355629,-0.025158,0.237932,0.372027,-0.021458,0.268695,0.368564,-0.029168,0.178120,0.149328,-0.076812,0.227820,0.122838,-0.057112,0.175420,0.168325,-0.073834,0.156183
1812,15.100000,-0.041221,0.093366,-0.012944,0.994694,0.365488,-0.025194,0.227812,0.355718,-0.025063,0.237692,0.372137,-0.021187,0.268024,0.368609,-0.029332,0.177719,0.036520,0.064891,0.013274,0.997136,0.146847,-0.069245,0.186608,0.149296,-0.076841,0.227940,0.123104,-0.057193,0.175657,0.168142,-0.073702,0.156226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355758,-0.025076,0.237510,0.372142,-0.021176,0.268144,0.368573,-0.029330,0.177773,0.149345,-0.076863,0.227944,0.122798,-0.057058,0.175641,0.168343,-0.073791,0.156234
1813,15.108000,-0.042817,0.093699,-0.013262,0.994591,0.365621,-0.025142,0.227328,0.355858,-0.024976,0.237215,0.372300,-0.021007,0.267523,0.368705,-0.029443,0.177247,0.038059,0.065064,0.014452,0.997050,0.146840,-0.069208,0.186752,0.149318,-0.076931,0.228059,0.123067,-0.057172,0.175847,0.168134,-0.073520,0.156349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355914,-0.024984,0.237074,0.372273,-0.021007,0.267551,0.368659,-0.029434,0.177389,0.149370,-0.076951,0.228044,0.122733,-0.057027,0.175849,0.168294,-0.073592,0.156367
1814,15.117000,-0.044075,0.093654,-0.012566,0.994549,0.365779,-0.025119,0.226855,0.356016,-0.024945,0.236742,0.372452,-0.020878,0.267040,0.368870,-0.029535,0.176784,0.039606,0.065489,0.015188,0.996951,0.146817,-0.069100,0.186911,0.149340,-0.076952,0.228191,0.123019,-0.057060,0.176064,0.168091,-0.073288,0.156476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356073,-0.024953,0.236612,0.372430,-0.020876,0.267084,0.368830,-0.029529,0.176877,0.149421,-0.076979,0.228146,0.122684,-0.056909,0.176023,0.168242,-0.073368,0.156566
1815,15.125000,-0.044749,0.094490,-0.012644,0.994439,0.365935,-0.025094,0.226429,0.356189,-0.024906,0.236332,0.372677,-0.020800,0.266596,0.368941,-0.029577,0.176359,0.040199,0.066675,0.016483,0.996828,0.146759,-0.069086,0.187037,0.149398,-0.076986,0.228301,0.122906,-0.057094,0.176262,0.167975,-0.073179,0.156548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356252,-0.024909,0.236246,0.372632,-0.020795,0.266683,0.368908,-0.029577,0.176387,0.149498,-0.077016,0.228222,0.122593,-0.056952,0.176214,0.168141,-0.073276,0.156709
1816,15.133000,-0.045546,0.095480,-0.014311,0.994286,0.366078,-0.025052,0.226089,0.356350,-0.024813,0.236010,0.372908,-0.020704,0.266236,0.368975,-0.029639,0.176022,0.041559,0.066639,0.017888,0.996751,0.146802,-0.069045,0.187163,0.149456,-0.077057,0.228404,0.122918,-0.057084,0.176419,0.168032,-0.072993,0.156666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356383,-0.024816,0.235950,0.372889,-0.020698,0.266307,0.368955,-0.029639,0.176038,0.149557,-0.077087,0.228330,0.122591,-0.056937,0.176371,0.168197,-0.073088,0.156812
1817,15.142000,-0.047431,0.095925,-0.010344,0.994204,0.366198,-0.024961,0.225794,0.356482,-0.024772,0.235726,0.373044,-0.020437,0.265918,0.369067,-0.029674,0.175736,0.042466,0.066187,0.018978,0.996723,0.146841,-0.069010,0.187299,0.149472,-0.077098,0.228527,0.122943,-0.057076,0.176556,0.168107,-0.072855,0.156814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356557,-0.024771,0.235678,0.372992,-0.020439,0.265935,0.369034,-0.029673,0.175771,0.149561,-0.077126,0.228464,0.122598,-0.056924,0.176521,0.168275,-0.072946,0.156927
1818,15.150000,-0.049534,0.095974,-0.005697,0.994134,0.366318,-0.024882,0.225560,0.356606,-0.024754,0.235498,0.373144,-0.020159,0.265665,0.369203,-0.029732,0.175517,0.043404,0.065688,0.020618,0.996683,0.146904,-0.068960,0.187452,0.149516,-0.077127,0.228666,0.122981,-0.057078,0.176708,0.168216,-0.072675,0.156982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356692,-0.024748,0.235481,0.373075,-0.020168,0.265637,0.369174,-0.029731,0.175554,0.149608,-0.077156,0.228605,0.122635,-0.056925,0.176664,0.168379,-0.072764,0.157099
1819,15.158000,-0.051356,0.096346,-0.001924,0.994020,0.366405,-0.024780,0.225275,0.356704,-0.024699,0.235224,0.373239,-0.019888,0.265358,0.369271,-0.029753,0.175243,0.045298,0.064715,0.022796,0.996615,0.146990,-0.068807,0.187599,0.149550,-0.077133,0.228784,0.123041,-0.056977,0.176855,0.168378,-0.072312,0.157158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356748,-0.024695,0.235217,0.373201,-0.019897,0.265306,0.369257,-0.029750,0.175291,0.149626,-0.077156,0.228737,0.122720,-0.056839,0.176828,0.168531,-0.072390,0.157241
